Time	Actual Torque	Actual Velocity
436	0.00237	-0.00623083
436.5	0	0.00972847
437	0	-0.00252375
437.5	0	0.0100112
438	0	-0.00483805
438.5	0	-0.00574911
439	0.00237	-0.0165038
439.5	0.00237	0.023185
440	0	0.0129119
440.5	0.00237	-0.000167552
441	0	-0.00226195
441.5	0	0.021677
442	0	-0.0131528
442.5	0.00237	-0.0239808
443	0	0.00587478
443.5	0.00237	0.0296566
444	0	-0.00445059
444.5	0.00237	0.00964469
445	0.00237	0.00281696
445.5	0	0.00804248
446	0.00237	0.00141372
446.5	0.00237	0.0168075
447	-0.00237	-0.00511032
447.5	0	-0.0425791
448	0.00237	0.0482653
448.5	0	-0.0239913
449	0.00237	-0.024473
449.5	0.00237	0.0122732
450	0	-0.0088174
450.5	0	0.000261799
451	-0.00237	0.0214571
451.5	0	-0.00152891
452	0	0.00402124
452.5	0.00237	0.0567162
453	0.00237	-0.0253108
453.5	0	-0.0263475
454	0	0.00821003
454.5	0.00237	0.0310285
455	0.00237	-0.0235201
455.5	0	0.00426209
456	0.00237	-0.0337616
456.5	0.00237	-0.00737227
457	0	-0.019059
457.5	0.00237	-0.0016441
458	0.00237	-0.00789587
458.5	0	-0.00142419
459	0	0.00777021
459.5	0.00237	0.019635
460	0.00237	0.0034767
460.5	0.00237	-0.00212581
461	0	0.0172159
461.5	0	-0.0139068
462	0	-0.00527788
462.5	0	-0.00686962
463	0.00237	0.001309
463.5	0	-0.000356047
464	0	0.00670206
464.5	0	-0.0235515
465	0	-0.0288817
465.5	0	0.0404847
466	0.00237	-0.0505378
466.5	0.00237	-0.00432493
467	0.00237	0.0128701
467.5	-0.00237	-0.0105872
468	0.00237	0.0259286
468.5	0	-0.023918
469	0.00237	0.00402124
469.5	0	-0.00356047
470	0	0.0129538
470.5	0	0.00382227
471	0	-0.0284838
471.5	0.00237	-0.00601091
472	0.00237	0.023164
472.5	0	0.011959
473	0	-0.0187972
473.5	0	0.020368
474	0.00237	0.0050056
474.5	0.00237	-0.0279916
475	0	-0.0133099
475.5	0.00237	-0.0232268
476	0	0.022232
476.5	0.00237	0.00910015
477	0.00237	-0.0136345
477.5	0.00237	0.0159907
478	0.00237	-0.0409454
478.5	0.00237	0.028599
479	0	-0.0319814
479.5	0.00237	-0.00851372
480	0.00237	0.055114
480.5	0	0.00584336
481	0	-0.00765501
481.5	0	0.0529777
482	0	-0.00479616
482.5	0.00237	0.0189647
483	0.00237	-0.0201586
483.5	0	-0.0099379
484	0.00237	-0.0198339
484.5	0.00237	-0.0103358
485	0	-0.0024295
485.5	0.00237	0.00473333
486	0.00237	-0.0258134
486.5	0	0.00195826
487	0	-0.0102521
487.5	0	0.0214675
488	0	-0.0154252
488.5	0	-0.0111527
489	0.00237	0.0040736
489.5	0.00237	0.0331229
490	0.00237	-0.0348507
490.5	0	-0.0284838
491	0	0.0355942
491.5	0	0.00708953
492	0	0.0316044
492.5	0.00237	-0.0169227
493	0.00237	0.0379295
493.5	0	0.00489041
494	0	-0.0464432
494.5	0	-0.00654498
495	0	-0.0250385
495.5	0	0.00681726
496	0.00237	-0.0225881
496.5	0	0.0156975
497	0.00237	-0.00988554
497.5	0.00237	0.0266616
498	0	0.0164201
498.5	0	-0.0160535
499	0.00237	-0.0110689
499.5	0	-0.0116763
500	0.00237	-0.0144618
500.5	0.00237	0.010095
501	0	-0.005791
501.5	0.00237	-0.0297614
502	0	0.0331019
502.5	0.00237	-0.00868127
503	0.00237	-0.00435634
503.5	0	-0.00977035
504	0.00237	-0.00352906
504.5	0.00237	0.0113516
505	0	0.0388091
505.5	0	0.00380133
506	0.00237	-0.0034767
506.5	0.00237	-0.00506844
507	0.00237	0.032306
507.5	0	-0.0100007
508	0.00237	0.0179594
508.5	0.00237	0.0110479
509	0	0.00129852
509.5	0.00237	-0.00152891
510	0.00237	0.00518363
510.5	0.00237	-0.00339292
511	0.00237	0.0293634
511.5	0.00237	-0.0216142
512	0.00237	-0.00586431
512.5	0.00237	-0.00258658
513	0.00237	-0.0307876
513.5	0	0.0255202
514	0	0.0146608
514.5	-0.00237	0.0246929
515	0	-0.0232687
515.5	0	-0.00178024
516	0	0.0114145
516.5	0.00237	-0.0159698
517	0.00237	0.0024295
517.5	0	-0.0181165
518	0	-0.000251327
518.5	0	-0.00524646
519	0	0.0227137
519.5	0.00237	0.0146503
520	0.00237	0.0384531
520.5	0	0.00447153
521	0.00237	-0.00970752
521.5	0	-0.0135193
522	0	-0.00439823
522.5	0.00237	-0.00257611
523	0.00237	-0.00151844
523.5	-0.00237	0.00550826
524	0	-0.00498466
524.5	0	-0.00494277
525	0.00237	-0.00917345
525.5	0	0.0145665
526	0	-0.0132889
526.5	0	-0.0213524
527	0	0.00933053
527.5	0	-0.0165248
528	0	-0.0162316
528.5	0.00237	0.00670206
529	0	-0.0216037
529.5	0.00237	0.00828333
530	0.00237	-0.0237504
530.5	0	0.0111841
531	0	-0.0278031
531.5	0	0.0504121
532	0.00237	0.0119485
532.5	0.00237	0.0082938
533	0.00237	-0.0411653
533.5	0	0.0173206
534	0	-0.0239704
534.5	0	0.0292796
535	0	-0.0314369
535.5	0	-0.0221378
